m_or_p,from,to,piece
p,,"{0,0}",BETTLE
p,,"{-1,0}",GRASSHOPPER
p,,"{0,1}",QUEEN
p,,"{-1,-1}",QUEEN
p,,"{1,-1}",ANT
p,,"{-2,1}",ANT
m,"{1,-1}","{-2,2}",
p,,"{-2,0}",ANT
p,,"{1,-1}",ANT
m,"{-2,0}","{0,2}",
m,"{1,-1}","{-1,-2}",
p,,"{0,3}",SPIDER
p,,"{0,-3}",SPIDER
m,"{0,3}","{1,0}",
m,"{0,-3}","{-2,-1}",
p,,"{2,0}",BEETLE
p,,"{-2,-2}",GRASSHOPPER
m,"{2,0}","{1,1}",
m,"{0,1}","{-1,2}",
m,"{-2,1}","{-3,3}",
m,"{-2,-2}","{0,-2}",
p,,"{2,1}",GRASSHOPPER
p,,"{-3,-1}",GRASSHOPPER
m,"{2,1}","{0,1}",
m,"{-3,-1}","{0,-1}",
m,"{-1,0}","{-1,-3}",
p,,"{1,-3}",GRASSHOPPER
m,"{-1,-1}","{-2,0}",
m,"{1,-3}","{-1,-1}",
m,"{-2,0}","{-3,0}",
p,,"{-1,0}",BETTLE
m,"{1,1}","{0,2}",
m,"{-1,0}","{-1,1}",
m,"{0,2}","{-1,3}",
m,"{-1,-1}","{-3,-1}",
m,"{-3,3}","{-2,3}",
